epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5260.81,0.35698,0.88997,1.02629,0.80163,0.99048,0.90759,0.90296,0.26162,0.67525,0.44962,0.000459174,0.000459174,0.000459174
43,5375.34,0.35856,0.88565,1.03022,0.7106,0.975,0.89819,0.88532,0.29389,0.76193,0.46125,0.000448464,0.000448464,0.000448464
44,5482.83,0.35583,0.85757,1.03263,0.71383,0.94848,0.92108,0.89096,0.37611,0.77974,0.49922,0.000437668,0.000437668,0.000437668
45,5596.55,0.34879,0.8719,1.02151,0.79081,0.98625,0.90473,0.87783,0.33124,0.75068,0.48361,0.000426796,0.000426796,0.000426796
46,5706.54,0.3701,0.86113,1.0306,0.7688,0.96705,0.89083,0.88046,0.2479,0.78112,0.44389,0.000415859,0.000415859,0.000415859
47,5813.9,0.34922,0.81887,1.01732,0.83182,0.92317,0.91029,0.89931,0.30273,0.82931,0.46136,0.000404867,0.000404867,0.000404867
48,5924.63,0.36377,0.8552,1.03056,0.76869,0.97778,0.92951,0.89902,0.39229,0.80942,0.49944,0.000393831,0.000393831,0.000393831
49,6037.02,0.35849,0.85757,1.03549,0.83688,0.94167,0.94197,0.91144,0.33129,0.73325,0.48304,0.000382762,0.000382762,0.000382762
50,6145.71,0.33946,0.83419,1.02287,0.80566,0.94328,0.91938,0.9137,0.23913,0.66488,0.44533,0.000371672,0.000371672,0.000371672
51,6255.14,0.34299,0.82784,1.02034,0.81567,0.95521,0.92748,0.92331,0.24369,0.6373,0.43657,0.00036057,0.00036057,0.00036057
52,6373.55,0.35285,0.8472,1.03295,0.87425,0.93041,0.93246,0.92645,0.24395,0.58482,0.44328,0.000349468,0.000349468,0.000349468
53,6483.44,0.33611,0.81278,1.02053,0.84893,0.94133,0.94667,0.9448,0.2146,0.59081,0.43061,0.000338378,0.000338378,0.000338378
54,6595.79,0.31974,0.77648,1.01207,0.88642,0.88927,0.96907,0.96762,0.213,0.64223,0.42698,0.000327309,0.000327309,0.000327309
55,6704.44,0.34638,0.83405,1.03043,0.85389,0.95409,0.9598,0.9589,0.28018,0.61853,0.44233,0.000316273,0.000316273,0.000316273
56,6812.65,0.31618,0.7921,1.00823,0.9143,0.94653,0.96264,0.96264,0.24603,0.55708,0.43146,0.000305281,0.000305281,0.000305281
57,6922.85,0.32445,0.81209,1.0189,0.89278,0.98007,0.97829,0.97829,0.2014,0.52778,0.41399,0.000294344,0.000294344,0.000294344
58,7035.89,0.3153,0.79261,1.01384,0.89455,0.93588,0.97057,0.96959,0.23969,0.59247,0.43596,0.000283472,0.000283472,0.000283472
59,7146.03,0.31366,0.76828,1.00799,0.87899,0.97424,0.97149,0.96398,0.27965,0.56465,0.45447,0.000272676,0.000272676,0.000272676
60,7259.84,0.30115,0.73944,1.00095,0.91418,0.95198,0.97302,0.97204,0.21992,0.5478,0.43375,0.000261966,0.000261966,0.000261966
61,7369.64,0.3029,0.76429,1.00047,0.87367,0.93803,0.9785,0.97586,0.24099,0.61844,0.44725,0.000251354,0.000251354,0.000251354
62,7477.36,0.29972,0.76685,1.00923,0.91583,0.9387,0.98294,0.97954,0.28733,0.62613,0.46048,0.00024085,0.00024085,0.00024085
63,7588.57,0.29138,0.74529,0.99717,0.94498,0.95755,0.97887,0.97727,0.26499,0.51896,0.44561,0.000230464,0.000230464,0.000230464
64,7700.88,0.30535,0.75412,1.00265,0.88547,0.99165,0.97915,0.97915,0.21178,0.53114,0.42966,0.000220206,0.000220206,0.000220206
65,7810.62,0.29401,0.76126,1.00903,0.87859,0.98333,0.98128,0.97943,0.20705,0.50945,0.43345,0.000210087,0.000210087,0.000210087
66,7924.86,0.28876,0.70202,0.99894,0.90489,1,0.97702,0.97702,0.22686,0.52091,0.43462,0.000200116,0.000200116,0.000200116
67,8032.66,0.2571,0.67702,0.97701,0.94915,0.97077,0.98036,0.98036,0.22228,0.52201,0.42891,0.000190304,0.000190304,0.000190304
68,8140.45,0.28179,0.71233,0.9921,0.93854,0.95583,0.98037,0.98037,0.24218,0.52167,0.43432,0.000180659,0.000180659,0.000180659
69,8253.67,0.29536,0.74294,1.00374,0.91591,0.9955,0.98461,0.98461,0.21729,0.48261,0.4265,0.000171193,0.000171193,0.000171193
70,8363.03,0.28448,0.67981,0.9864,0.94976,0.96248,0.98461,0.98461,0.20023,0.46565,0.42168,0.000161913,0.000161913,0.000161913
71,8471.03,0.30109,0.71927,1.0003,0.8955,0.98712,0.98432,0.98432,0.20316,0.49388,0.42158,0.000152829,0.000152829,0.000152829
72,8584.03,0.29881,0.71035,1.00126,0.90656,0.99423,0.98325,0.98325,0.22875,0.47486,0.43177,0.00014395,0.00014395,0.00014395
73,8692.48,0.28879,0.72042,1.00036,0.95656,0.97492,0.98454,0.98348,0.19725,0.44804,0.42486,0.000135285,0.000135285,0.000135285
74,8802.6,0.28095,0.68103,0.99889,0.88327,0.99149,0.98555,0.98236,0.20197,0.45791,0.42207,0.000126843,0.000126843,0.000126843
75,8914.61,0.28078,0.7047,0.99036,0.90507,0.99493,0.9871,0.98337,0.20077,0.43513,0.42313,0.000118631,0.000118631,0.000118631
76,9026.14,0.26629,0.67505,0.98825,0.94661,0.97775,0.98738,0.98389,0.18986,0.43117,0.42315,0.000110657,0.000110657,0.000110657
77,9140.24,0.27973,0.70842,1.00023,0.95367,0.98527,0.98949,0.98843,0.19495,0.41432,0.42005,0.000102931,0.000102931,0.000102931
78,9251.05,0.27136,0.68276,0.99826,0.90944,0.97765,0.99082,0.98736,0.19329,0.4246,0.42136,9.54582e-05,9.54582e-05,9.54582e-05
79,9357.96,0.26771,0.65554,0.99135,0.92802,0.98527,0.99271,0.99059,0.19493,0.42935,0.42249,8.82475e-05,8.82475e-05,8.82475e-05
80,9475.81,0.28335,0.67178,1.0005,0.9712,0.98035,0.99177,0.98964,0.19851,0.41423,0.42433,8.13055e-05,8.13055e-05,8.13055e-05
81,9584.15,0.26447,0.65707,0.98564,0.96828,0.991,0.9934,0.99234,0.18841,0.39691,0.42168,7.46391e-05,7.46391e-05,7.46391e-05
82,9697.75,0.26225,0.68901,0.98529,0.94958,0.97141,0.99177,0.99071,0.19701,0.41323,0.42228,6.82549e-05,6.82549e-05,6.82549e-05
83,9805.31,0.27138,0.67463,0.99167,0.95158,0.98708,0.99273,0.99167,0.19019,0.40984,0.42241,6.21592e-05,6.21592e-05,6.21592e-05
84,9912.97,0.26973,0.66531,0.98877,0.952,0.99836,0.99386,0.99173,0.17513,0.37442,0.41508,5.63579e-05,5.63579e-05,5.63579e-05
85,10029.2,0.26708,0.66314,0.99208,0.96357,0.99174,0.99438,0.99332,0.17862,0.37451,0.41735,5.08569e-05,5.08569e-05,5.08569e-05
86,10139.4,0.2602,0.63833,0.98665,0.9766,0.98829,0.9934,0.99234,0.1819,0.37471,0.41899,4.56616e-05,4.56616e-05,4.56616e-05
87,10246.7,0.26503,0.66255,0.99166,0.95239,0.99078,0.9934,0.99084,0.19218,0.38928,0.42383,4.0777e-05,4.0777e-05,4.0777e-05
88,10354.6,0.25757,0.65387,0.98527,0.96015,0.99161,0.99386,0.99138,0.19079,0.38635,0.42412,3.6208e-05,3.6208e-05,3.6208e-05
89,10468.9,0.26905,0.68311,0.99016,0.9584,0.98447,0.99158,0.98903,0.18239,0.38756,0.42189,3.19591e-05,3.19591e-05,3.19591e-05
90,10575.6,0.24185,0.65377,0.97818,0.93954,0.9958,0.993,0.99044,0.19087,0.39319,0.42339,2.80345e-05,2.80345e-05,2.80345e-05
91,10681.5,0.06737,0.73253,0.9549,0.9296,0.97602,0.9887,0.98771,0.21819,0.64278,0.41992,2.44381e-05,2.44381e-05,2.44381e-05
92,10790.5,0.05757,0.59803,0.95654,0.94793,0.94306,0.98448,0.9835,0.22795,0.76591,0.42142,2.11734e-05,2.11734e-05,2.11734e-05
93,10895.7,0.05753,0.5697,0.94533,0.90858,0.95543,0.98828,0.98721,0.22359,0.76969,0.41965,1.82437e-05,1.82437e-05,1.82437e-05
94,11000.1,0.06035,0.48945,0.94095,0.9376,0.95396,0.98675,0.98675,0.21738,0.75501,0.41463,1.56517e-05,1.56517e-05,1.56517e-05
95,11104.1,0.05719,0.46824,0.94422,0.9236,0.94889,0.98767,0.98767,0.21396,0.71929,0.41217,1.34002e-05,1.34002e-05,1.34002e-05
96,11208.4,0.0528,0.45869,0.95308,0.92582,0.95413,0.98825,0.98825,0.20782,0.70276,0.40977,1.14913e-05,1.14913e-05,1.14913e-05
97,11317.1,0.05238,0.44527,0.95065,0.92757,0.9516,0.98745,0.98745,0.21289,0.68967,0.41166,9.9269e-06,9.9269e-06,9.9269e-06
98,11422.5,0.05714,0.42429,0.95109,0.93463,0.95469,0.98745,0.98745,0.21085,0.65213,0.40939,8.70853e-06,8.70853e-06,8.70853e-06
99,11526.8,0.05242,0.42945,0.94778,0.93642,0.95052,0.98723,0.98723,0.20959,0.67032,0.40952,7.83741e-06,7.83741e-06,7.83741e-06
100,11633.9,0.05171,0.43627,0.95039,0.94903,0.94988,0.98802,0.98802,0.20204,0.6484,0.4068,7.3144e-06,7.3144e-06,7.3144e-06
