epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1915.5,0.45743,0.74956,1.07883,0.95619,0.95833,0.95568,0.87002,0.52243,0.73294,0.60097,0.000803876,0.000803876,0.000803876
43,1958.7,0.4876,0.78148,1.0898,0.95795,0.95833,0.95374,0.90765,0.40237,0.6351,0.52843,0.000785127,0.000785127,0.000785127
44,1997.97,0.46865,0.72376,1.07698,0.95441,0.92621,0.95343,0.91931,0.36567,0.66222,0.50411,0.000766226,0.000766226,0.000766226
45,2033.83,0.40835,0.62191,1.03901,0.87927,0.95385,0.95798,0.91814,0.36654,0.73195,0.50002,0.000747192,0.000747192,0.000747192
46,2070.43,0.44601,0.71081,1.06737,0.89671,0.87261,0.94008,0.90071,0.37884,0.90041,0.49354,0.000728044,0.000728044,0.000728044
47,2105.06,0.42,0.67452,1.04983,0.92662,0.90069,0.97568,0.93662,0.40358,0.71115,0.50198,0.0007088,0.0007088,0.0007088
48,2147.42,0.45243,0.68482,1.07639,0.95878,0.91974,0.97427,0.93617,0.40078,0.60562,0.50113,0.00068948,0.00068948,0.00068948
49,2188.68,0.44139,0.69822,1.06636,0.9499,0.93854,0.96,0.92976,0.37628,0.61675,0.50372,0.000670102,0.000670102,0.000670102
50,2233.66,0.43683,0.66379,1.06757,0.93669,0.91967,0.9313,0.92612,0.33331,0.76626,0.48627,0.000650685,0.000650685,0.000650685
51,2278.24,0.44564,0.71347,1.06851,0.95693,0.93986,0.95572,0.95199,0.31628,0.66968,0.47873,0.00063125,0.00063125,0.00063125
52,2324.63,0.45923,0.67697,1.06449,0.94452,0.9471,0.96101,0.90962,0.35741,0.57473,0.50155,0.000611815,0.000611815,0.000611815
53,2366.85,0.42125,0.64226,1.04373,0.95646,0.94894,0.95476,0.90335,0.38474,0.59063,0.50577,0.000592398,0.000592398,0.000592398
